"country,""indicator"",""measure"",""category"",""Unit"",""Date"",""Value"""
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",37.6"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",38.3"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",40.2"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",24.9"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",27.1"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",28.5"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",29.6"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",63.5"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",66.2"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",68.2"
"Ecuador,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",69.8"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",19.6"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",19.9"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",18.4"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",16.6"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",42.8"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",42.9"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",41.3"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",45.4"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",23.9"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",24.4"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",26.8"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",25.6"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",50.9"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",51.2"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",59.9"
"Peru,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",66.5"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",16.2"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",18.1"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",21.3"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",25.3"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",56.1"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",55.7"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",61.9"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",68.6"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",16.2"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",17.7"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",20.5"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",24"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",42.9"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",42"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",49.2"
"Australasia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",56.7"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",15.5"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",17.3"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",20.2"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",24.4"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",56.1"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",55.3"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",61.5"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",68.2"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",15.8"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",17.2"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",19.3"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",23"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",42.7"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",41.1"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",48.5"
"Australia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",56.1"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",19.2"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",21.4"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",26.5"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",29.6"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",55.8"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",57.8"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",63.5"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",71.4"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",17.9"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",20.3"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",25.8"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",28.7"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",43.8"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",46.7"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",52.2"
"New Zealand,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",60"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",10.2"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",10"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",11.5"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",13.4"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",32.2"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",32.4"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",33.9"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",37.8"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",15.8"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",15.3"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",17.4"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",19.9"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",41.1"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",41"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",45.9"
"Caribbean,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",50.4"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",8.3"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",10.5"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",9.7"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",11.2"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",28.5"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",33.8"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",31.8"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",35.5"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",15.8"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",19.2"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",18.3"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",20.5"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",41.8"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",47"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",45.6"
"Antigua and Barbuda,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",49.1"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",22.6"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",23.7"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",22.4"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",25.3"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",64.1"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",64.1"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",56.1"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",57.5"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",29.1"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",30.1"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",29.1"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",32.4"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",66.8"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",68"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",66.7"
"Barbados,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",69.9"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",20.8"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",20.9"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",20.7"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",18.4"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",55.2"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",55.2"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",56.5"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",58.6"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",30.1"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",30"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",29.7"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",27.1"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",72.6"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",72.6"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",73.8"
"Belize,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",75.3"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",12.4"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",12.2"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",13.3"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",15.7"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",32.2"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",31.4"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",32.8"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",37.5"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",19.7"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",19.4"
"Cuba,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",20.9"
