"","","","Mean BMI (kg/m2) (age-standardized estimate)","Mean BMI (kg/m2) (age-standardized estimate)"
"Austria"," Both sexes"," 18+  years","25.4 [23.9-26.9]","25.3 [24-26.6]"
"Austria"," Female"," 18+  years","24.4 [22-26.7]","24.3 [22.2-26.4]"
"Austria"," Male"," 18+  years","26.5 [24.6-28.3]","26.2 [24.6-27.9]"
"Azerbaijan"," Both sexes"," 18+  years","27.4 [26.5-28.3]","26.7 [26.1-27.4]"
"Azerbaijan"," Female"," 18+  years","28.1 [26.8-29.5]","27.6 [26.5-28.6]"
"Azerbaijan"," Male"," 18+  years","26.6 [25.4-27.8]","25.9 [25-26.8]"
"Bahamas"," Both sexes"," 18+  years","28.8 [26.9-30.7]","28.4 [26.4-30.2]"
"Bahamas"," Female"," 18+  years","29.6 [26.6-32.7]","29.2 [26.3-32.2]"
"Bahamas"," Male"," 18+  years","28 [25.6-30.4]","27.5 [25.2-29.8]"
"Bahrain"," Both sexes"," 18+  years","28.2 [27.2-29.2]","27.8 [27-28.7]"
"Bahrain"," Female"," 18+  years","28.6 [27.1-30.3]","28.3 [27.1-29.6]"
"Bahrain"," Male"," 18+  years","28 [26.6-29.3]","27.5 [26.5-28.6]"
"Bangladesh"," Both sexes"," 18+  years","21 [20.4-21.6]","20.6 [20.2-21]"
"Bangladesh"," Female"," 18+  years","21.2 [20.4-22]","20.7 [20.1-21.2]"
"Bangladesh"," Male"," 18+  years","20.7 [19.9-21.6]","20.5 [19.8-21.1]"
"Barbados"," Both sexes"," 18+  years","28.7 [27.5-30]","28.2 [27-29.2]"
"Barbados"," Female"," 18+  years","30 [27.9-32]","29.5 [27.8-31.1]"
"Barbados"," Male"," 18+  years","27.4 [25.7-29]","26.8 [25.4-28.2]"
"Belarus"," Both sexes"," 18+  years","26.6 [24.6-28.8]","26.4 [24.5-28.4]"
"Belarus"," Female"," 18+  years","26.2 [23.1-29.4]","26.2 [23.1-29.1]"
"Belarus"," Male"," 18+  years","27.1 [24.6-29.5]","26.6 [24.2-29]"
"Belgium"," Both sexes"," 18+  years","25.5 [24.5-26.4]","25.4 [24.6-26.2]"
"Belgium"," Female"," 18+  years","24.7 [23.1-26.2]","24.8 [23.4-26]"
"Belgium"," Male"," 18+  years","26.2 [25.1-27.4]","26.1 [25.2-27]"
"Belize"," Both sexes"," 18+  years","28.9 [27.9-29.8]","28.4 [27.7-29.1]"
"Belize"," Female"," 18+  years","30.2 [28.9-31.6]","29.8 [28.6-30.9]"
"Belize"," Male"," 18+  years","27.5 [26.2-28.8]","27.1 [26.1-28.2]"
"Benin"," Both sexes"," 18+  years","23.4 [22.8-24]","23.1 [22.6-23.6]"
"Benin"," Female"," 18+  years","24.3 [23.5-25]","23.8 [23.2-24.3]"
"Benin"," Male"," 18+  years","22.6 [21.6-23.6]","22.4 [21.6-23.2]"
"Bhutan"," Both sexes"," 18+  years","23.8 [23.2-24.4]","23.3 [22.8-23.9]"
"Bhutan"," Female"," 18+  years","24.2 [23.4-25.1]","23.7 [22.8-24.6]"
"Bhutan"," Male"," 18+  years","23.4 [22.7-24.2]","23 [22.3-23.8]"
"Bolivia (Plurinational State of)"," Both sexes"," 18+  years","25.9 [25-26.9]","25.5 [24.7-26.3]"
"Bolivia (Plurinational State of)"," Female"," 18+  years","27.3 [26.1-28.5]","26.8 [26-27.7]"
"Bolivia (Plurinational State of)"," Male"," 18+  years","24.6 [23.2-26]","24.2 [23-25.5]"
"Bosnia and Herzegovina"," Both sexes"," 18+  years","26.1 [25.1-27.1]","26 [25.2-26.8]"
"Bosnia and Herzegovina"," Female"," 18+  years","25.7 [24.2-27.3]","25.7 [24.5-26.9]"
"Bosnia and Herzegovina"," Male"," 18+  years","26.5 [25.2-27.8]","26.2 [25.2-27.3]"
"Botswana"," Both sexes"," 18+  years","24.7 [23.9-25.5]","24.4 [23.7-25]"
"Botswana"," Female"," 18+  years","26.6 [25.4-27.8]","26.2 [25.2-27.2]"
"Botswana"," Male"," 18+  years","22.9 [21.8-24]","22.5 [21.6-23.4]"
"Brazil"," Both sexes"," 18+  years","25.9 [25.4-26.5]","25.6 [25.3-25.9]"
"Brazil"," Female"," 18+  years","26 [25.3-26.8]","25.7 [25.2-26.2]"
"Brazil"," Male"," 18+  years","25.9 [25.2-26.6]","25.5 [25-25.9]"
"Brunei Darussalam"," Both sexes"," 18+  years","26.2 [24.1-28.3]","26 [24.2-28]"
"Brunei Darussalam"," Female"," 18+  years","26.6 [23.4-29.7]","26.5 [23.5-29.5]"
"Brunei Darussalam"," Male"," 18+  years","25.8 [23.3-28.3]","25.5 [23.2-27.9]"
"Bulgaria"," Both sexes"," 18+  years","26 [25.1-27]","25.8 [25.1-26.6]"
"Bulgaria"," Female"," 18+  years","25.3 [23.9-26.7]","25.2 [24.1-26.4]"
"Bulgaria"," Male"," 18+  years","26.7 [25.5-28]","26.4 [25.5-27.4]"
"Burkina Faso"," Both sexes"," 18+  years","22.1 [21.5-22.6]","21.8 [21.4-22.2]"
"Burkina Faso"," Female"," 18+  years","22 [21.3-22.7]","21.8 [21.2-22.3]"
"Burkina Faso"," Male"," 18+  years","22.1 [21.3-22.9]","21.9 [21.1-22.6]"
"Burundi"," Both sexes"," 18+  years","20.9 [19.6-22.2]","20.7 [19.5-21.9]"
"Burundi"," Female"," 18+  years","21.3 [20.2-22.5]","21 [20-22]"
"Burundi"," Male"," 18+  years","20.4 [17.9-22.9]","20.4 [18-22.7]"
"Côte d'Ivoire"," Both sexes"," 18+  years","23.6 [22.9-24.3]","23.4 [22.8-23.9]"
"Côte d'Ivoire"," Female"," 18+  years","24.1 [23.2-24.9]","23.8 [23.1-24.4]"
"Côte d'Ivoire"," Male"," 18+  years","23.2 [22.1-24.2]","23 [22.2-23.8]"
"Cabo Verde"," Both sexes"," 18+  years","24.7 [23.9-25.5]","24.3 [23.6-25.1]"
"Cabo Verde"," Female"," 18+  years","25.4 [24.2-26.6]","25 [24-26.1]"
"Cabo Verde"," Male"," 18+  years","23.9 [22.8-25]","23.6 [22.7-24.5]"
"Cambodia"," Both sexes"," 18+  years","21.9 [21.3-22.5]","21.5 [21-22]"
"Cambodia"," Female"," 18+  years","22 [21.2-22.8]","21.6 [21-22.2]"
"Cambodia"," Male"," 18+  years","21.9 [20.9-22.8]","21.5 [20.7-22.3]"
"Cameroon"," Both sexes"," 18+  years","24.4 [23.7-25.3]","24.2 [23.5-24.9]"
"Cameroon"," Female"," 18+  years","25.1 [24.3-25.8]","24.7 [24.1-25.3]"
"Cameroon"," Male"," 18+  years","23.8 [22.4-25.2]","23.6 [22.4-24.8]"
"Canada"," Both sexes"," 18+  years","27.2 [26.6-27.8]","27 [26.6-27.3]"
"Canada"," Female"," 18+  years","26.8 [25.9-27.6]","26.6 [26-27.1]"
"Canada"," Male"," 18+  years","27.6 [26.8-28.3]","27.4 [26.9-27.9]"
"Central African Republic"," Both sexes"," 18+  years","22.4 [21.3-23.5]","22.2 [21.3-23.1]"
"Central African Republic"," Female"," 18+  years","23.2 [21.7-24.8]","22.8 [21.5-24]"
"Central African Republic"," Male"," 18+  years","21.6 [20.1-23.2]","21.5 [20.1-22.9]"
"Chad"," Both sexes"," 18+  years","22.3 [21.3-23.3]","22 [21.2-22.8]"
"Chad"," Female"," 18+  years","22.5 [21.3-23.7]","22.2 [21.2-23.1]"
"Chad"," Male"," 18+  years","22.1 [20.6-23.7]","21.9 [20.5-23.3]"
"Chile"," Both sexes"," 18+  years","27.8 [27.2-28.4]","27.5 [27-27.9]"
"Chile"," Female"," 18+  years","28 [27-28.9]","27.7 [27-28.4]"
"Chile"," Male"," 18+  years","27.6 [26.7-28.5]","27.2 [26.6-27.8]"
"China"," Both sexes"," 18+  years","23.9 [23.4-24.4]","23.4 [23.1-23.7]"
"China"," Female"," 18+  years","23.6 [22.9-24.4]","23.3 [22.8-23.7]"
"China"," Male"," 18+  years","24.2 [23.5-24.9]","23.6 [23.2-24]"
"Colombia"," Both sexes"," 18+  years","25.9 [25.4-26.5]","25.6 [25.2-26]"
"Colombia"," Female"," 18+  years","26.5 [25.6-27.3]","26.2 [25.6-26.8]"
"Colombia"," Male"," 18+  years","25.4 [24.6-26.1]","25 [24.4-25.5]"
"Comoros"," Both sexes"," 18+  years","24.1 [23.5-24.7]","23.8 [23.2-24.3]"
"Comoros"," Female"," 18+  years","25.1 [24.4-26]","24.6 [23.9-25.3]"
"Comoros"," Male"," 18+  years","23 [22.2-23.9]","22.9 [22.1-23.7]"
"Congo"," Both sexes"," 18+  years","23.3 [22.3-24.2]","23 [22.1-23.8]"
"Congo"," Female"," 18+  years","24.1 [23.2-25.1]","23.7 [22.9-24.5]"
"Congo"," Male"," 18+  years","22.5 [20.8-24.1]","22.2 [20.7-23.7]"
"Cook Islands"," Both sexes"," 18+  years","32.3 [31.4-33.2]","32 [31.2-32.9]"
"Cook Islands"," Female"," 18+  years","32.6 [31.2-34]","32.4 [31.2-33.5]"
"Cook Islands"," Male"," 18+  years","32.1 [30.8-33.4]","31.7 [30.6-32.8]"
"Costa Rica"," Both sexes"," 18+  years","26.9 [26.3-27.5]","26.5 [26-27.1]"
"Costa Rica"," Female"," 18+  years","27.1 [26.2-27.9]","26.7 [25.9-27.5]"
"Costa Rica"," Male"," 18+  years","26.7 [25.9-27.5]","26.4 [25.7-27.1]"
"Croatia"," Both sexes"," 18+  years","25.5 [24.4-26.7]","25.3 [24.4-26.3]"
"Croatia"," Female"," 18+  years","24.6 [22.7-26.4]","24.5 [23-26.1]"
"Croatia"," Male"," 18+  years","26.5 [24.9-28.1]","26.2 [24.9-27.5]"
"Cuba"," Both sexes"," 18+  years","26.2 [25.1-27.1]","25.7 [24.9-26.4]"
"Cuba"," Female"," 18+  years","26.7 [25.2-28.2]","26.3 [25.1-27.5]"
"Cuba"," Male"," 18+  years","25.6 [24.2-27]","25.1 [24-26.2]"
"Cyprus"," Both sexes"," 18+  years","27 [25.9-28]","26.8 [25.9-27.7]"
"Cyprus"," Female"," 18+  years","26.3 [24.8-27.9]","26.2 [25-27.5]"
"Cyprus"," Male"," 18+  years","27.6 [26.3-29]","27.4 [26.3-28.6]"
"Czech Republic"," Both sexes"," 18+  years","26.9 [26.2-27.6]","26.8 [26.3-27.3]"
"Czech Republic"," Female"," 18+  years","26 [24.9-27.1]","26.1 [25.3-26.9]"
"Czech Republic"," Male"," 18+  years","27.8 [26.9-28.8]","27.6 [26.9-28.3]"
"Democratic People's Republic of Korea"," Both sexes"," 18+  years","21.8 [19.6-24]","21.8 [19.7-23.9]"
"Democratic People's Republic of Korea"," Female"," 18+  years","21.8 [18.3-25.2]","21.8 [18.5-25]"
"Democratic People's Republic of Korea"," Male"," 18+  years","21.9 [19.2-24.5]","21.8 [19.3-24.2]"
"Democratic Republic of the Congo"," Both sexes"," 18+  years","22.2 [21.3-23]","21.9 [21.2-22.6]"
"Democratic Republic of the Congo"," Female"," 18+  years","22.5 [21.7-23.3]","22.1 [21.4-22.7]"
"Democratic Republic of the Congo"," Male"," 18+  years","21.8 [20.3-23.4]","21.8 [20.5-23.1]"
"Denmark"," Both sexes"," 18+  years","25.3 [24.6-25.9]","25.1 [24.6-25.6]"
"Denmark"," Female"," 18+  years","24.5 [23.5-25.5]","24.4 [23.6-25.2]"
"Denmark"," Male"," 18+  years","26 [25.1-26.9]","25.9 [25.2-26.5]"
"Djibouti"," Both sexes"," 18+  years","23.3 [21.3-25.5]","23.2 [21.3-25.2]"
"Djibouti"," Female"," 18+  years","23.9 [20.9-27]","23.7 [20.8-26.7]"
"Djibouti"," Male"," 18+  years","22.7 [20.3-25.2]","22.6 [20.3-25]"
"Dominica"," Both sexes"," 18+  years","27 [26.2-27.9]","26.5 [25.8-27.3]"
"Dominica"," Female"," 18+  years","29 [27.7-30.3]","28.5 [27.4-29.5]"
"Dominica"," Male"," 18+  years","25.1 [23.9-26.3]","24.6 [23.6-25.5]"
"Dominican Republic"," Both sexes"," 18+  years","26.7 [25.6-27.7]","26.2 [25.4-27]"
"Dominican Republic"," Female"," 18+  years","27.4 [25.8-29]","26.9 [25.7-28.2]"
"Dominican Republic"," Male"," 18+  years","26 [24.6-27.5]","25.5 [24.3-26.7]"
"Ecuador"," Both sexes"," 18+  years","27 [26.4-27.6]","26.6 [26.1-27.1]"
"Ecuador"," Female"," 18+  years","27.7 [26.7-28.6]","27.3 [26.5-28.1]"
"Ecuador"," Male"," 18+  years","26.4 [25.5-27.2]","26 [25.2-26.8]"
"Egypt"," Both sexes"," 18+  years","29.2 [28.6-29.7]","28.7 [28.4-29.1]"
"Egypt"," Female"," 18+  years","30.7 [30-31.5]","30.2 [29.7-30.7]"
"Egypt"," Male"," 18+  years","27.6 [26.9-28.3]","27.3 [26.8-27.7]"
"El Salvador"," Both sexes"," 18+  years","27.4 [26.4-28.4]","27 [26.2-27.9]"
"El Salvador"," Female"," 18+  years","28 [26.9-29]","27.6 [26.8-28.3]"
"El Salvador"," Male"," 18+  years","26.8 [25.1-28.4]","26.4 [25-27.9]"
"Equatorial Guinea"," Both sexes"," 18+  years","25.6 [23.4-27.9]","25.1 [23.1-27.1]"
"Equatorial Guinea"," Female"," 18+  years","26.1 [22.7-29.4]","25.6 [22.4-28.8]"
"Equatorial Guinea"," Male"," 18+  years","25 [22.5-27.7]","24.7 [22.2-27.1]"
"Eritrea"," Both sexes"," 18+  years","20.5 [19.9-21.1]","20.5 [20-20.9]"
"Eritrea"," Female"," 18+  years","21 [20.1-21.9]","20.8 [20.1-21.4]"
"Eritrea"," Male"," 18+  years","20.1 [19.2-20.9]","20.2 [19.5-20.8]"
"Estonia"," Both sexes"," 18+  years","25.5 [24.5-26.7]","25.4 [24.5-26.3]"
"Estonia"," Female"," 18+  years","24.3 [22.4-26]","24.3 [22.8-25.8]"
"Estonia"," Male"," 18+  years","27 [25.8-28.4]","26.7 [25.7-27.7]"
"Ethiopia"," Both sexes"," 18+  years","20.6 [20-21.2]","20.3 [19.8-20.8]"
"Ethiopia"," Female"," 18+  years","21 [20.1-21.9]","20.7 [20-21.4]"
"Ethiopia"," Male"," 18+  years","20.2 [19.3-21]","20 [19.3-20.7]"
"Fiji"," Both sexes"," 18+  years","27.2 [26.6-27.8]","27.1 [26.6-27.6]"
"Fiji"," Female"," 18+  years","28.4 [27.5-29.4]","28.3 [27.6-29]"
"Fiji"," Male"," 18+  years","26.1 [25.3-26.9]","25.9 [25.3-26.5]"
"Finland"," Both sexes"," 18+  years","25.9 [25.5-26.3]","25.9 [25.6-26.2]"
"Finland"," Female"," 18+  years","25.3 [24.7-25.9]","25.4 [25-25.8]"
"Finland"," Male"," 18+  years","26.5 [25.9-27.1]","26.4 [26-26.8]"
"France"," Both sexes"," 18+  years","25.3 [24.5-26]","25.2 [24.6-25.7]"
"France"," Female"," 18+  years","24.6 [23.5-25.7]","24.5 [23.7-25.4]"
"France"," Male"," 18+  years","26.1 [25.1-27.1]","25.9 [25.2-26.6]"
"Gabon"," Both sexes"," 18+  years","25.5 [24.5-26.3]","25.1 [24.4-25.9]"
"Gabon"," Female"," 18+  years","26.4 [25.4-27.3]","25.9 [25.1-26.7]"
"Gabon"," Male"," 18+  years","24.6 [23-26.1]","24.3 [22.9-25.7]"
"Gambia"," Both sexes"," 18+  years","24 [23.3-24.7]","23.5 [23-24.1]"
"Gambia"," Female"," 18+  years","25.1 [24.1-26.1]","24.5 [23.7-25.3]"
"Gambia"," Male"," 18+  years","23 [22-23.9]","22.5 [21.8-23.2]"
"Georgia"," Both sexes"," 18+  years","27.2 [26.5-27.9]","26.8 [26.2-27.3]"
"Georgia"," Female"," 18+  years","27.3 [26.2-28.3]","26.8 [26-27.8]"
"Georgia"," Male"," 18+  years","27.2 [26.2-28.1]","26.7 [25.8-27.5]"
"Germany"," Both sexes"," 18+  years","26.3 [25.7-26.8]","26.1 [25.7-26.6]"
"Germany"," Female"," 18+  years","25.6 [24.7-26.5]","25.5 [24.9-26.2]"
"Germany"," Male"," 18+  years","27 [26.2-27.8]","26.8 [26.2-27.3]"
"Ghana"," Both sexes"," 18+  years","24.2 [23.6-24.9]","23.8 [23.4-24.3]"
"Ghana"," Female"," 18+  years","25.1 [24.2-25.9]","24.6 [24-25.2]"
"Ghana"," Male"," 18+  years","23.4 [22.5-24.4]","23.1 [22.4-23.8]"
"Greece"," Both sexes"," 18+  years","27.3 [26.3-28.2]","27.3 [26.5-28]"
"Greece"," Female"," 18+  years","27.2 [25.7-28.7]","27.2 [26-28.3]"
"Greece"," Male"," 18+  years","27.4 [26.2-28.6]","27.3 [26.4-28.3]"
"Grenada"," Both sexes"," 18+  years","27 [26.2-27.7]","26.4 [25.8-27.1]"
"Grenada"," Female"," 18+  years","28.7 [27.6-29.8]","28.1 [27.1-29.1]"
"Grenada"," Male"," 18+  years","25.2 [24.3-26.2]","24.8 [23.9-25.6]"
"Guatemala"," Both sexes"," 18+  years","26.5 [25.6-27.4]","26.1 [25.4-26.8]"
"Guatemala"," Female"," 18+  years","27.1 [26.1-28.1]","26.7 [26-27.4]"
"Guatemala"," Male"," 18+  years","25.8 [24.4-27.3]","25.6 [24.3-26.8]"
"Guinea"," Both sexes"," 18+  years","22.7 [22-23.5]","22.5 [21.8-23.2]"
"Guinea"," Female"," 18+  years","23.3 [22.5-24.2]","23 [22.3-23.7]"
"Guinea"," Male"," 18+  years","22.1 [20.8-23.5]","22 [20.7-23.2]"
"Guinea-Bissau"," Both sexes"," 18+  years","23.1 [21.7-24.4]","22.8 [21.7-24]"
"Guinea-Bissau"," Female"," 18+  years","23.9 [22.7-25]","23.5 [22.5-24.5]"
"Guinea-Bissau"," Male"," 18+  years","22.2 [19.9-24.6]","22 [19.9-24.3]"
"Guyana"," Both sexes"," 18+  years","26.3 [25.6-27.1]","25.8 [25.1-26.5]"
"Guyana"," Female"," 18+  years","27.6 [26.4-28.8]","27.1 [26-28.1]"
"Guyana"," Male"," 18+  years","25 [24-26.1]","24.6 [23.7-25.5]"
"Haiti"," Both sexes"," 18+  years","24.1 [22.7-25.5]","23.6 [22.4-25]"
"Haiti"," Female"," 18+  years","24 [23-24.9]","23.5 [22.7-24.3]"
"Haiti"," Male"," 18+  years","24.2 [21.7-26.8]","23.8 [21.5-26.3]"
"Honduras"," Both sexes"," 18+  years","26.4 [25.5-27.3]","26 [25.2-26.9]"
"Honduras"," Female"," 18+  years","27.3 [26.5-28.1]","26.9 [26.2-27.5]"
"Honduras"," Male"," 18+  years","25.5 [23.9-27.1]","25.2 [23.7-26.7]"
"Hungary"," Both sexes"," 18+  years","26.3 [25.1-27.4]","26.2 [25.2-27.3]"
"Hungary"," Female"," 18+  years","25.2 [23.2-27.2]","25.2 [23.6-26.9]"
"Hungary"," Male"," 18+  years","27.5 [26.3-28.9]","27.3 [26.2-28.4]"
"Iceland"," Both sexes"," 18+  years","25.9 [24.7-27.1]","25.9 [24.8-26.9]"
"Iceland"," Female"," 18+  years","25.1 [23.2-27]","25.1 [23.5-26.8]"
"Iceland"," Male"," 18+  years","26.7 [25.2-28.4]","26.6 [25.3-27.9]"
"India"," Both sexes"," 18+  years","21.9 [21.5-22.4]","21.6 [21.3-21.9]"
"India"," Female"," 18+  years","22.1 [21.4-22.8]","21.7 [21.3-22.1]"
"India"," Male"," 18+  years","21.8 [21.1-22.4]","21.5 [21.1-21.9]"
"Indonesia"," Both sexes"," 18+  years","22.9 [22.3-23.6]","22.5 [22-22.9]"
"Indonesia"," Female"," 18+  years","23.4 [22.4-24.4]","23 [22.3-23.7]"
"Indonesia"," Male"," 18+  years","22.4 [21.5-23.4]","21.9 [21.3-22.6]"
"Iran (Islamic Republic of)"," Both sexes"," 18+  years","26.2 [25.8-26.7]","25.9 [25.7-26.2]"
"Iran (Islamic Republic of)"," Female"," 18+  years","27.2 [26.5-27.9]","26.8 [26.4-27.2]"
"Iran (Islamic Republic of)"," Male"," 18+  years","25.3 [24.7-25.9]","25 [24.7-25.4]"
"Iraq"," Both sexes"," 18+  years","28 [27.2-28.8]","27.5 [26.8-28.2]"
"Iraq"," Female"," 18+  years","28.8 [27.6-30.1]","28.4 [27.4-29.4]"
"Iraq"," Male"," 18+  years","27.2 [26.1-28.3]","26.7 [25.8-27.6]"
"Ireland"," Both sexes"," 18+  years","27.5 [26.9-28.1]","27.2 [26.9-27.6]"
"Ireland"," Female"," 18+  years","27.1 [26.3-27.8]","26.8 [26.2-27.3]"
"Ireland"," Male"," 18+  years","27.9 [27.2-28.6]","27.7 [27.2-28.2]"
"Israel"," Both sexes"," 18+  years","26.3 [25.5-27.1]","26.1 [25.5-26.6]"
"Israel"," Female"," 18+  years","26.2 [25.1-27.4]","26.1 [25.3-26.9]"
"Israel"," Male"," 18+  years","26.3 [25.2-27.3]","26 [25.3-26.7]"
"Italy"," Both sexes"," 18+  years","26 [25.5-26.5]","25.9 [25.5-26.2]"
"Italy"," Female"," 18+  years","25.2 [24.5-26]","25.2 [24.7-25.7]"
"Italy"," Male"," 18+  years","26.8 [26.1-27.5]","26.6 [26.2-27.1]"
"Jamaica"," Both sexes"," 18+  years","27.4 [26.6-28.2]","26.9 [26.3-27.4]"
"Jamaica"," Female"," 18+  years","29.2 [28.2-30.3]","28.6 [27.8-29.4]"
"Jamaica"," Male"," 18+  years","25.5 [24.5-26.6]","25.1 [24.3-25.8]"
"Japan"," Both sexes"," 18+  years","22.6 [22.2-23]","22.6 [22.4-22.9]"
"Japan"," Female"," 18+  years","21.7 [21.1-22.3]","21.8 [21.5-22.2]"
"Japan"," Male"," 18+  years","23.6 [23-24.2]","23.5 [23.1-23.8]"
"Jordan"," Both sexes"," 18+  years","28.9 [28.4-29.5]","28.6 [28.2-29]"
"Jordan"," Female"," 18+  years","29.7 [29-30.4]","29.5 [29-29.9]"
"Jordan"," Male"," 18+  years","28.2 [27.3-29.1]","27.8 [27.1-28.4]"
"Kazakhstan"," Both sexes"," 18+  years","27.4 [26.2-28.7]","27 [25.9-28.1]"
"Kazakhstan"," Female"," 18+  years","27.5 [25.7-29.2]","27.1 [25.7-28.5]"
"Kazakhstan"," Male"," 18+  years","27.4 [25.4-29.4]","26.8 [25.1-28.6]"
"Kenya"," Both sexes"," 18+  years","23 [21.9-24.1]","22.6 [21.7-23.5]"
"Kenya"," Female"," 18+  years","24 [23-25.1]","23.6 [22.8-24.4]"
"Kenya"," Male"," 18+  years","21.9 [20-23.8]","21.7 [20-23.4]"
"Kiribati"," Both sexes"," 18+  years","29.6 [28.6-30.4]","29.4 [28.7-30.1]"
"Kiribati"," Female"," 18+  years","30.5 [29.1-31.8]","30.3 [29.2-31.4]"
"Kiribati"," Male"," 18+  years","28.7 [27.5-29.8]","28.6 [27.6-29.5]"
"Kuwait"," Both sexes"," 18+  years","30 [29.2-30.8]","29.5 [28.9-30.2]"
"Kuwait"," Female"," 18+  years","30.8 [29.7-32.1]","30.4 [29.5-31.4]"
"Kuwait"," Male"," 18+  years","29.5 [28.4-30.6]","29 [28.1-29.8]"
"Kyrgyzstan"," Both sexes"," 18+  years","26.2 [25.7-26.8]","25.8 [25.3-26.2]"
"Kyrgyzstan"," Female"," 18+  years","26.8 [26.1-27.5]","26.4 [25.7-27]"
"Kyrgyzstan"," Male"," 18+  years","25.6 [24.8-26.4]","25.2 [24.5-25.9]"
"Lao People's Democratic Republic"," Both sexes"," 18+  years","22.6 [22-23.1]","22.1 [21.6-22.6]"
"Lao People's Democratic Republic"," Female"," 18+  years","22.7 [22-23.5]","22.3 [21.7-23]"
"Lao People's Democratic Republic"," Male"," 18+  years","22.4 [21.6-23.2]","21.9 [21.1-22.7]"
"Latvia"," Both sexes"," 18+  years","25.8 [24.7-27.1]","25.7 [24.6-26.7]"
"Latvia"," Female"," 18+  years","25.1 [23.2-26.9]","25.1 [23.6-26.6]"
"Latvia"," Male"," 18+  years","26.8 [25.2-28.3]","26.4 [25.2-27.7]"
"Lebanon"," Both sexes"," 18+  years","27.8 [27.1-28.5]","27.3 [26.8-27.8]"
"Lebanon"," Female"," 18+  years","27.6 [26.5-28.6]","27.1 [26.3-27.9]"
"Lebanon"," Male"," 18+  years","28 [27-28.9]","27.4 [26.7-28.1]"
"Lesotho"," Both sexes"," 18+  years","24.9 [24.3-25.4]","24.6 [24.2-25.1]"
"Lesotho"," Female"," 18+  years","27.1 [26.2-27.9]","26.8 [26.1-27.4]"
"Lesotho"," Male"," 18+  years","22.7 [22-23.4]","22.4 [21.8-23]"
"Liberia"," Both sexes"," 18+  years","24 [23.5-24.6]","23.7 [23.2-24.2]"
"Liberia"," Female"," 18+  years","24.9 [24.2-25.6]","24.3 [23.7-25]"
"Liberia"," Male"," 18+  years","23.2 [22.5-23.9]","23.1 [22.4-23.7]"
"Libya"," Both sexes"," 18+  years","28.4 [27.7-29.1]","28 [27.4-28.5]"
"Libya"," Female"," 18+  years","29.6 [28.5-30.7]","29.2 [28.3-30.1]"
"Libya"," Male"," 18+  years","27.2 [26.2-28.2]","26.8 [26-27.6]"
"Lithuania"," Both sexes"," 18+  years","26.6 [25.5-27.7]","26.4 [25.6-27.2]"
